protein,2,100,Protein Percentage,number,%,,,"decimal:0,2|isNumber:|range:0,MAX,true,true",,,,
caliber,2,100,Caliber Percentage,number,%,,,"decimal:0,2|isNumber:|range:0,100,true,true",,,,
fat_matter_fraction,2,100,Fat Matter Percentage,number,%,,,"decimal:0,2|isNumber:|range:0,100,true,true",,,,
sand_fraction_in_topsoil,2,100,Topsoil Sand Fraction,number,%,,,"decimal:0,2|isNumber:|range:0,100,true,true",,,,
lime_fraction_in_topsoil,2,100,Topsoil Lime Fraction,number,%,,,"decimal:0,2|isNumber:|range:0,100,true,true",,,,
clay_fraction_in_topsoil,2,100,Topsoil Clay Fraction,number,%,,,"decimal:0,2|isNumber:|range:0,100,true,true",,,,
organic_matter_fraction_in_topsoil,2,100,Topsoil Organic Matter Fraction,number,%,,,"decimal:0,2|isNumber:|range:0,100,true,true",,,,
p_in_top_soil_ppm,2,1,Topsoil Phosphate,target_result,ppm,ppm,ppm,,,,"decimal:0,2|isNumber:|range:0,1000000,false,true","decimal:0,2|isNumber:|range:0,1000000,true,true"
n_in_soil_kg_per_m2,2,1,Soil Nitrogen,target_result,lb/ac,lb/ac,lb/ac,,,,"decimal:0,2|isNumber:|range:0,MAX,false,false","decimal:0,2|isNumber:|range:0,MAX,true,false"
n_in_top_soil_ppm,2,1,Topsoil Nitrogen,number,ppm,,,"decimal:0,2|isNumber:|range:0,1000000,true,true",,,,
n_in_mid_soil_ppm,2,1,Midsoil Nitrogen,number,ppm,,,"decimal:0,2|isNumber:|range:0,1000000,true,true",,,,
n_in_bottom_soil_ppm,2,1,Bottomsoil Nitrogen,number,ppm,,,"decimal:0,2|isNumber:|range:0,1000000,true,true",,,,
s_in_topsoil_ppm,2,1,Topsoil Sulfur,target_result,ppm,ppm,ppm,,,,"decimal:0,2|isNumber:|range:0,1000000,false,true","decimal:0,2|isNumber:|range:0,1000000,true,true"
ph_in_topsoil,2,1,Bottomsoil Nitrogen,number,,,,"decimal:0,2|isNumber:|range:0,14,true,true",,,,
ph_in_midsoil,2,1,Midsoil pH,number,,,,"decimal:0,2|isNumber:|range:0,14,true,true",,,,
ph_in_bottomsoil,2,1,Bottomsoil pH,number,,,,"decimal:0,2|isNumber:|range:0,14,true,true",,,,
water_in_midsoil,2,1,Midsoil Water,number,,,,"decimal:0,2|isNumber:|range:0,MAX,true,false",,,,
ground_water_depth_m,2,1,Ground Water Depth,number,ft,,,"decimal:0,2|isNumber:|range:0,MAX,true,false",,,,
analysis_ion,0,1,Analysis Ion,string,,,,,,,,
average_dose_per_m2,3,1,Average Fungicide Dose,volume_mass,lb/ac,lb/ac,lb/ac,,"decimal:0,3|isNumber:|range:0,MAX,false,false","decimal:0,3|isNumber:|range:0,MAX,false,false",,
phenological_state,0,1,Phenological State,string,,,,,,,,
epidemic_type,0,1,Epidemic Type,string,,,,,,,,
epidemic_fraction,2,100,Epidemic Fraction,number,%,,,"decimal:0,2|isNumber:|range:0,100,true,true",,,,
min_temperature_in_celsius_degrees,0,1,Minimal Temperature,number,F,,,"decimal:0,0|isNumber:|range:-70,60,true,true",,,,
max_temperature_in_celsius_degrees,0,1,Maximal Temperature,number,F,,,"decimal:0,0|isNumber:|range:-70,60,true,true",,,,
precipitation_accumulation_in_mms,2,1,Precipitation Accumulation,number,mm,,,"decimal:0,0|isNumber:|range:0,MAX,true,false",,,,
soil_moisture_in_mms,2,1,Soil Moisture,number,mm,,,"decimal:0,2|isNumber:|range:0,MAX,true,false",,,,
actual_evapotranspiration_in_mms,2,1,Evapotranspiration,number,mm,,,"decimal:0,2|isNumber:|range:0,MAX,true,false",,,,
reference_evapotranspiration_in_mms,2,1,Reference Evapotranspiration,number,mm,,,"decimal:0,2|isNumber:|range:0,MAX,true,false",,,,
climate_water_deficit_in_mms,2,1,Climate Water Deficit,number,mm,,,"decimal:0,2|isNumber:|range:MIN,0,true,false",,,,
vapor_pressure_in_kpa,2,1,Vapor Pressure,number,kPa,,,"decimal:0,2|isNumber:|range:0,MAX,true,false",,,,
vapor_pressure_deficit_in_kpa,2,1,Vapor Pressure Deficit,number,kPa,,,"decimal:0,2|isNumber:|range:MIN,0,true,false",,,,
palmer_drought_severity_index,2,1,Palmer Drought Severity,number,,,,"decimal:0,2|isNumber:|range:-10,10,true,true",,,,
downward_surface_shortwave_radiation_in_watt_per_m2,2,1,PDownward Surface Shortwave Radiation,number,W/m^2,,,"decimal:0,2|isNumber:|range:0,MAX,true,false",,,,
wind_speed_in_meter_per_second,2,1,Wind Speed,number,m/s,,,"decimal:0,2|isNumber:|range:0,MAX,true,false",,,,
water_runoff_in_mms,2,1,Water Runoff,number,mm,,,"decimal:0,2|isNumber:|range:0,MAX,true,false",,,,
snow_water_equivalent_in_mms,2,1,Snow Water,number,mm,,,"decimal:0,2|isNumber:|range:0,MAX,true,false",,,,
yield_decrease,2,100,Percentage Damaged/hurt,number,%,,,"decimal:0,2|isNumber:|range:0,100,false,true",,,,
crop_type,0,1,Crops,string,,,,,,,,
field_size,2,1,Field Size,number,ac,,,"decimal:0,2|isNumber:|range:0,MAX,true,false",,,,
is_crop_rotated,0,1,Crop Rotation,string,,,,,,,,
rotated_crop_types,0,1,Rotation Pattern,crop_type,,,,,,,,
confidence,0,100,Rotation Accuracy,number,%,,,,,,,
elevation_meter,2,1,Elevation,number,feet,,,"decimal:0,2|isNumber:|range:0,20000,true,true",,,,
slope_degree,2,1,Slope,number,°,,,"decimal:0,2|isNumber:|range:0,90,true,true",,,,
area_in_hectares,2,1,Area,number,ac,,,"decimal:0,2|isNumber:|range:0,MAX,true,false",,,,
compactness,2,1,Compactness,number,,,,"decimal:0,2|isNumber:|range:0,1,true,true",,,,
rectangularity,2,1,Rectangularity,number,,,,"decimal:0,2|isNumber:|range:0,1,true,true",,,,
owner_name,0,1,Ownership Name,multi_select,,,,,,,,
address_line,0,1,Address Line,multi_select,,,,,,,,
city_name,0,1,City Name,string,,,,,,,,
state_name,0,1,State Name,string,,,,,,,,
zipcode,0,1,Zipcode,string,,,,,,,,
distance_to_water_in_meters,2,1,Distance to Water,number,miles,,,"decimal:0,2|isNumber:|range:0,MAX,true,false",,,,
distance_to_road_in_meters,2,1,Distance to Road,number,miles,,,"decimal:0,2|isNumber:|range:0,MAX,true,false",,,,
distance_to_town_in_meters,2,1,Distance to Town,number,miles,,,"decimal:0,2|isNumber:|range:0,MAX,true,false",,,,
crop_category,0,1,Crop Category,string,,,,,,,,
index,2,1,Index,number,,,,,,,,
dominant_frequency,0,1,Dominant Frequency,frequency,,,,,,,,
max_frequency,0,1,Max Frequency,frequency,,,,,,,,
duration,0,1,Duration,duration,,,,,,,,
soil_texture_type,0,1,Soil Texture Type,soil_texture_type,,,,,,,,
organic_carbon,1,1,Soil Organic Matter (%),average,%,,,,,,,
histogram_of_ndvi,0,1,Histogram of NDVI,fixed_width_histogram,,,,,,,,
growing_degrees_day,0,1,Growing Degree Days,number,,,,"decimal:0,0|isNumber:|range:0,MAX,true,false",,,,
last_frost_time,0,1,Last Frost Time,date,,,,,,,,
first_frost_time,0,1,First Frost Time,date,,,,,,,,
hierarchical_label,1,1,Hierarchical Label,number,,,,,,,,
cluster_annotation,0,1,Cluster Annotation,string,,,,,,,,
component_name,0,1,Component Name,string,,,,,,,,
component_percentage,0,1,Component Percentage,number,,,,,,,,
sand_fraction,0,1,Sand,average,%,,,,,,,
silt_fraction,0,1,Silt,average,%,,,,,,,
clay_fraction,0,1,Clay,average,%,,,,,,,
ph_level,1,1,pH level,average_range,,,,,,,,
nitrogen_in_ppm,1,100,Nitrogen,number,%,,,,,,,
last_frost_time,0,0,Last Frost Time,staring,,,,,,,,
first_frost_time,0,0,First Frost Time,staring,,,,,,,,
planted_area_in_acres,2,1,Planted Area,number,ac,,,"decimal:0,2|isNumber:|range:0,MAX,true,false",,,,
harvest_area_in_acres,2,1,Havested Area,number,ac,,,"decimal:0,2|isNumber:|range:0,MAX,true,false",,,,
yield_total_in_bushels,2,1,Yield Total,number,bu,,,"decimal:0,2|isNumber:|range:0,MAX,true,false",,,,
yield_total_in_kg,2,1,Yield Total,number,bu,,,"decimal:0,2|isNumber:|range:0,MAX,true,false",,,,
yield_per_acre_in_bushels,2,1,Yield per Acre,number,bu/ac,,,"decimal:0,2|isNumber:|range:0,MAX,true,false",,,,
yield_per_hacter_in_kg,2,1,Average Yield per Acre,number,bu/ac,,,"decimal:0,2|isNumber:|range:0,MAX,true,false",,,,
